county,date,precipitation,precip_type,state
Wayne,6/1/2023,0.01,Rain,IA
Wayne,6/2/2023,0.24,Rain,IA
Wayne,6/3/2023,0,Rain,IA
Wayne,6/4/2023,0,Rain,IA
Wayne,6/5/2023,0.02,Rain,IA
Wayne,6/6/2023,0,Rain,IA
Wayne,6/7/2023,0,Rain,IA
Wayne,6/8/2023,0,Rain,IA
Wayne,6/9/2023,0,Rain,IA
Wayne,6/10/2023,0,Rain,IA
Wayne,6/11/2023,0.19,Rain,IA
Wayne,6/12/2023,0.02,Rain,IA
Wayne,6/13/2023,0,Rain,IA
Wayne,6/14/2023,0,Rain,IA
Wayne,6/15/2023,0.08,Rain,IA
Wayne,6/16/2023,0,Rain,IA
Wayne,6/17/2023,0.5,Rain,IA
Wayne,6/18/2023,0,Rain,IA
Wayne,6/19/2023,0.03,Rain,IA
Wayne,6/20/2023,0,Rain,IA
Wayne,6/21/2023,0,Rain,IA
Wayne,6/22/2023,0,Rain,IA
Wayne,6/23/2023,0,Rain,IA
Wayne,6/24/2023,0,Rain,IA
Wayne,6/25/2023,0.01,Rain,IA
Wayne,6/26/2023,0,Rain,IA
Wayne,6/27/2023,0,Rain,IA
Wayne,6/28/2023,0,Rain,IA
Wayne,6/29/2023,0.02,Rain,IA
Wayne,6/30/2023,0.28,Rain,IA
Worth,6/1/2023,0.02,Rain,IA
Worth,6/2/2023,0.03,Rain,IA
Worth,6/3/2023,0,Rain,IA
Worth,6/4/2023,0,Rain,IA
Worth,6/5/2023,0,Rain,IA
Worth,6/6/2023,0,Rain,IA
Worth,6/7/2023,0,Rain,IA
Worth,6/8/2023,0,Rain,IA
Worth,6/9/2023,0,Rain,IA
Worth,6/10/2023,0,Rain,IA
Worth,6/11/2023,0,Rain,IA
Worth,6/12/2023,0,Rain,IA
Worth,6/13/2023,0,Rain,IA
Worth,6/14/2023,0,Rain,IA
Worth,6/15/2023,0,Rain,IA
Worth,6/16/2023,0,Rain,IA
Worth,6/17/2023,0,Rain,IA
Worth,6/18/2023,0.18,Rain,IA
Worth,6/19/2023,0,Rain,IA
Worth,6/20/2023,0,Rain,IA
Worth,6/21/2023,0,Rain,IA
Worth,6/22/2023,0,Rain,IA
Worth,6/23/2023,0,Rain,IA
Worth,6/24/2023,0.5,Rain,IA
Worth,6/25/2023,0.48,Rain,IA
Worth,6/26/2023,0.06,Rain,IA
Worth,6/27/2023,0,Rain,IA
Worth,6/28/2023,0.22,Rain,IA
Worth,6/29/2023,0,Rain,IA
Worth,6/30/2023,0,Rain,IA
